epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7726,1.92084,2.57206,1.82703,0.27642,0.34082,0.22955,0.09727,1.85976,2.58241,1.84569,0.000662037,0.000662037,0.000662037
2,70.743,1.94633,2.41126,1.9055,0.2067,0.32355,0.17712,0.0635,1.97485,3.27414,1.95913,0.00131555,0.00131555,0.00131555
3,102.339,1.94888,2.37232,1.93726,0.16926,0.2015,0.11506,0.03454,2.34254,2.77277,2.4754,0.00195586,0.00195586,0.00195586
4,134.663,1.94431,2.328,1.93702,0.27643,0.29937,0.21023,0.06607,2.20795,2.64045,2.17702,0.0019406,0.0019406,0.0019406
5,170.956,1.90227,2.2559,1.90258,0.27836,0.30109,0.19579,0.063,2.18695,2.90976,2.16975,0.0019208,0.0019208,0.0019208
6,208.076,1.86798,2.21669,1.87711,0.34778,0.39148,0.29487,0.11182,2.05905,2.1431,2.01804,0.001901,0.001901,0.001901
7,246.129,1.83149,2.13007,1.86375,0.4092,0.45999,0.38523,0.15408,1.88826,2.12196,1.87863,0.0018812,0.0018812,0.0018812
8,285.446,1.80296,2.0879,1.83505,0.39729,0.41854,0.36784,0.15849,1.86335,2.06294,1.88261,0.0018614,0.0018614,0.0018614
9,328.113,1.78922,2.08646,1.82766,0.36071,0.43581,0.32877,0.1436,1.83268,2.0962,1.83865,0.0018416,0.0018416,0.0018416
10,371.217,1.76223,2.0241,1.80249,0.4676,0.48474,0.44525,0.19216,1.87025,1.85366,1.84401,0.0018218,0.0018218,0.0018218
11,416.135,1.74921,1.98624,1.79495,0.4575,0.46802,0.42654,0.19323,1.74793,1.89151,1.76683,0.001802,0.001802,0.001802
12,462.952,1.731,1.96507,1.78079,0.46391,0.45653,0.4396,0.18903,1.87921,1.89561,1.8465,0.0017822,0.0017822,0.0017822
13,509.884,1.71388,1.94731,1.76447,0.52466,0.50662,0.50578,0.24944,1.59412,1.80709,1.67843,0.0017624,0.0017624,0.0017624
14,557.315,1.68161,1.90638,1.74545,0.53179,0.47668,0.48208,0.23242,1.68768,1.75782,1.7177,0.0017426,0.0017426,0.0017426
15,605.277,1.68259,1.89454,1.74123,0.51965,0.50322,0.50025,0.23019,1.78842,1.73563,1.75792,0.0017228,0.0017228,0.0017228
16,652.979,1.67628,1.86069,1.73906,0.49447,0.4905,0.48479,0.23905,1.73084,1.76382,1.74525,0.001703,0.001703,0.001703
17,701.335,1.65379,1.85625,1.73158,0.52785,0.5118,0.52417,0.26927,1.55993,1.693,1.63426,0.0016832,0.0016832,0.0016832
18,752.136,1.63594,1.82552,1.72508,0.53838,0.51698,0.52211,0.252,1.66518,1.75633,1.72099,0.0016634,0.0016634,0.0016634
19,802.715,1.6401,1.80546,1.71405,0.54781,0.52389,0.54348,0.27805,1.62938,1.61652,1.66682,0.0016436,0.0016436,0.0016436
20,853.088,1.61393,1.80475,1.70596,0.53064,0.5298,0.51861,0.26787,1.61113,1.73512,1.66378,0.0016238,0.0016238,0.0016238
21,903.097,1.61572,1.77963,1.69935,0.5674,0.5316,0.55752,0.27528,1.76919,1.60153,1.79867,0.001604,0.001604,0.001604
22,956.716,1.59666,1.767,1.68355,0.55977,0.53541,0.54789,0.30239,1.49336,1.61858,1.58361,0.0015842,0.0015842,0.0015842
23,1007.1,1.6041,1.74969,1.69698,0.52681,0.5308,0.53872,0.28557,1.589,1.60206,1.64494,0.0015644,0.0015644,0.0015644
24,1062.37,1.59857,1.74299,1.68893,0.59822,0.56419,0.59448,0.31074,1.58627,1.50812,1.62236,0.0015446,0.0015446,0.0015446
25,1114.61,1.58908,1.72477,1.66607,0.59083,0.57571,0.59693,0.31628,1.57585,1.5286,1.61376,0.0015248,0.0015248,0.0015248
26,1166.02,1.55863,1.68463,1.66586,0.58027,0.58146,0.59946,0.31496,1.6308,1.49759,1.6472,0.001505,0.001505,0.001505
27,1217.05,1.55913,1.68397,1.66253,0.57266,0.54519,0.55612,0.30544,1.52355,1.54806,1.58395,0.0014852,0.0014852,0.0014852
28,1269.28,1.55131,1.6795,1.64718,0.65141,0.5544,0.62402,0.34602,1.52815,1.43971,1.60564,0.0014654,0.0014654,0.0014654
29,1321.03,1.54717,1.66237,1.64486,0.63347,0.56937,0.62217,0.32923,1.59563,1.44644,1.60841,0.0014456,0.0014456,0.0014456
30,1373.49,1.52793,1.63946,1.62898,0.63419,0.57628,0.61949,0.33243,1.58701,1.453,1.61972,0.0014258,0.0014258,0.0014258
31,1426.92,1.52092,1.63386,1.63423,0.61847,0.59988,0.62891,0.3596,1.47273,1.39052,1.56467,0.001406,0.001406,0.001406
32,1478.93,1.50122,1.6186,1.61374,0.61489,0.59196,0.61879,0.34132,1.53421,1.4571,1.56806,0.0013862,0.0013862,0.0013862
33,1531.59,1.51325,1.61065,1.61809,0.59478,0.6042,0.61794,0.36307,1.40819,1.38155,1.52879,0.0013664,0.0013664,0.0013664
34,1583.32,1.48653,1.59543,1.59839,0.63527,0.60264,0.64502,0.34188,1.63467,1.38641,1.62713,0.0013466,0.0013466,0.0013466
35,1634.45,1.49635,1.6029,1.61739,0.61596,0.56789,0.61522,0.36214,1.385,1.39941,1.50643,0.0013268,0.0013268,0.0013268
36,1687.02,1.48079,1.57976,1.59839,0.62948,0.56707,0.62206,0.36198,1.40578,1.35542,1.52697,0.001307,0.001307,0.001307
37,1740.16,1.48907,1.58172,1.60479,0.64026,0.6158,0.66214,0.39392,1.37939,1.34015,1.48783,0.0012872,0.0012872,0.0012872
38,1793.7,1.47086,1.55828,1.59746,0.63405,0.55559,0.62588,0.36592,1.42161,1.41007,1.52672,0.0012674,0.0012674,0.0012674
39,1848.3,1.46693,1.55219,1.59024,0.65025,0.60507,0.6623,0.36748,1.49678,1.36368,1.54744,0.0012476,0.0012476,0.0012476
40,1901.65,1.45626,1.55465,1.58615,0.63529,0.59668,0.64574,0.39661,1.33924,1.29833,1.47688,0.0012278,0.0012278,0.0012278
41,1955.98,1.45243,1.50562,1.56676,0.62535,0.60161,0.64198,0.38535,1.35578,1.3174,1.48465,0.001208,0.001208,0.001208
42,2010.25,1.45355,1.5215,1.57359,0.63735,0.57858,0.6475,0.38914,1.35754,1.33772,1.48924,0.0011882,0.0011882,0.0011882
43,2064.11,1.45096,1.51976,1.57353,0.62734,0.60183,0.64962,0.39844,1.30759,1.31565,1.4536,0.0011684,0.0011684,0.0011684
44,2119.64,1.43359,1.50872,1.56601,0.65275,0.59528,0.65318,0.3883,1.38149,1.30729,1.49379,0.0011486,0.0011486,0.0011486
45,2174.46,1.43685,1.50024,1.55823,0.64761,0.63155,0.67726,0.41033,1.34818,1.2734,1.46768,0.0011288,0.0011288,0.0011288
46,2227.29,1.42439,1.47809,1.56078,0.69316,0.6091,0.68146,0.41328,1.36537,1.2479,1.46475,0.001109,0.001109,0.001109
47,2280.09,1.40798,1.46225,1.54614,0.65233,0.62003,0.67511,0.41431,1.34149,1.23644,1.4534,0.0010892,0.0010892,0.0010892
48,2333.21,1.4231,1.4653,1.54374,0.64421,0.64109,0.68765,0.42023,1.3487,1.22187,1.46331,0.0010694,0.0010694,0.0010694
49,2387.04,1.41054,1.45649,1.53771,0.63171,0.62061,0.66608,0.42394,1.27115,1.23787,1.40808,0.0010496,0.0010496,0.0010496
50,2440.13,1.40983,1.45115,1.53698,0.6541,0.6304,0.6854,0.42234,1.29298,1.22585,1.4373,0.0010298,0.0010298,0.0010298
51,2493.31,1.40246,1.44237,1.52684,0.67068,0.61428,0.68424,0.43104,1.29077,1.22311,1.43372,0.00101,0.00101,0.00101
52,2546.24,1.38794,1.4333,1.51618,0.66504,0.64767,0.69507,0.43925,1.29983,1.1709,1.42747,0.0009902,0.0009902,0.0009902
53,2599.81,1.38641,1.44359,1.525,0.65585,0.63413,0.69187,0.4357,1.28866,1.23258,1.42179,0.0009704,0.0009704,0.0009704
54,2653.31,1.39798,1.40366,1.51862,0.667,0.62522,0.68343,0.4379,1.26549,1.2158,1.42027,0.0009506,0.0009506,0.0009506
55,2705.3,1.39286,1.41836,1.52981,0.67089,0.66073,0.7033,0.45024,1.25361,1.19541,1.4139,0.0009308,0.0009308,0.0009308
56,2757.96,1.3526,1.4029,1.49933,0.68658,0.64421,0.70946,0.44629,1.28218,1.18442,1.41528,0.000911,0.000911,0.000911
57,2809.95,1.37514,1.39573,1.51471,0.6551,0.65827,0.69758,0.4429,1.27013,1.17312,1.41977,0.0008912,0.0008912,0.0008912
58,2862.96,1.3619,1.3807,1.50665,0.70376,0.61831,0.69994,0.43516,1.315,1.18799,1.44381,0.0008714,0.0008714,0.0008714
59,2915.46,1.36913,1.4064,1.50623,0.69576,0.62752,0.69948,0.44914,1.27638,1.16463,1.41647,0.0008516,0.0008516,0.0008516
60,2967.02,1.35944,1.39189,1.49422,0.67806,0.6517,0.7095,0.45474,1.26147,1.1612,1.4019,0.0008318,0.0008318,0.0008318
61,3019.28,1.34487,1.3726,1.50065,0.67794,0.64421,0.6993,0.44421,1.24214,1.15458,1.40826,0.000812,0.000812,0.000812
62,3071.51,1.34535,1.34287,1.48418,0.67256,0.67761,0.71074,0.46016,1.2221,1.13807,1.38474,0.0007922,0.0007922,0.0007922
