epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4268,1.92084,2.57206,1.82703,0.27642,0.34082,0.22955,0.09727,1.85976,2.58241,1.84569,0.000662037,0.000662037,0.000662037
2,72.343,1.94796,2.41341,1.90693,0.27366,0.33621,0.21619,0.08056,1.95066,3.33486,1.97732,0.00132213,0.00132213,0.00132213
3,103.902,1.95377,2.36573,1.93091,0.24766,0.34945,0.22511,0.08148,2.11091,2.67198,2.12209,0.00197562,0.00197562,0.00197562
4,139.622,1.95175,2.32723,1.95284,0.25337,0.34542,0.21349,0.07258,2.03849,3.36048,2.09136,0.0019703,0.0019703,0.0019703
5,177.085,1.88689,2.26125,1.91021,0.26066,0.29188,0.19543,0.06799,2.23715,2.52524,2.1836,0.0019604,0.0019604,0.0019604
6,216.801,1.8652,2.21842,1.88763,0.39947,0.39436,0.35508,0.14615,1.92229,2.14125,1.91712,0.0019505,0.0019505,0.0019505
7,259.932,1.83732,2.13037,1.85856,0.38615,0.39474,0.33875,0.14314,1.82877,2.10063,1.82207,0.0019406,0.0019406,0.0019406
8,306.775,1.79742,2.10292,1.84537,0.38653,0.43166,0.35794,0.16074,1.7617,2.21922,1.80151,0.0019307,0.0019307,0.0019307
9,354.785,1.77402,2.08567,1.82699,0.4268,0.41709,0.38475,0.17463,1.80654,1.98142,1.79865,0.0019208,0.0019208,0.0019208
10,403.633,1.76609,2.02827,1.82194,0.45584,0.4596,0.42323,0.182,1.87936,1.88577,1.85531,0.0019109,0.0019109,0.0019109
11,453.496,1.76016,1.99888,1.80749,0.44373,0.45711,0.4164,0.17951,1.85339,1.93562,1.8535,0.001901,0.001901,0.001901
12,503.242,1.72744,1.96542,1.78318,0.48233,0.49349,0.46584,0.20521,1.86097,1.86429,1.84806,0.0018911,0.0018911,0.0018911
13,553.292,1.7244,1.95748,1.79071,0.4822,0.46747,0.46327,0.22032,1.6943,1.97448,1.75478,0.0018812,0.0018812,0.0018812
14,605.224,1.70009,1.91819,1.76553,0.47025,0.4763,0.46047,0.2068,1.84159,1.82094,1.84569,0.0018713,0.0018713,0.0018713
15,657.675,1.69768,1.89805,1.75764,0.5287,0.51065,0.51421,0.24387,1.72244,1.72083,1.72924,0.0018614,0.0018614,0.0018614
16,709.7,1.68051,1.87223,1.75336,0.48519,0.50374,0.47469,0.22355,1.80297,1.77087,1.77804,0.0018515,0.0018515,0.0018515
17,763.133,1.67321,1.86596,1.74736,0.5546,0.48877,0.52722,0.26266,1.65718,1.66716,1.67623,0.0018416,0.0018416,0.0018416
18,816.206,1.65212,1.82285,1.72991,0.52492,0.50189,0.51831,0.26901,1.59808,1.68702,1.6738,0.0018317,0.0018317,0.0018317
19,868.587,1.65448,1.82077,1.7349,0.56292,0.5285,0.55281,0.28375,1.62058,1.61818,1.67485,0.0018218,0.0018218,0.0018218
20,921.431,1.61862,1.81785,1.71346,0.53313,0.53368,0.53392,0.2862,1.58913,1.62368,1.67598,0.0018119,0.0018119,0.0018119
21,974.305,1.62451,1.7859,1.7091,0.55183,0.48877,0.51835,0.26672,1.72603,1.65046,1.75468,0.001802,0.001802,0.001802
22,1029.55,1.60752,1.77945,1.68754,0.57412,0.55383,0.57758,0.30728,1.56966,1.57597,1.62084,0.0017921,0.0017921,0.0017921
23,1084.5,1.61515,1.74844,1.70382,0.53354,0.5285,0.5356,0.25831,1.78629,1.65767,1.73435,0.0017822,0.0017822,0.0017822
24,1137.76,1.6133,1.76788,1.69334,0.55014,0.52216,0.53573,0.25908,1.75185,1.67073,1.73532,0.0017723,0.0017723,0.0017723
25,1191.43,1.59882,1.72843,1.6738,0.60891,0.54409,0.59584,0.31286,1.61924,1.50428,1.64131,0.0017624,0.0017624,0.0017624
26,1247.35,1.56686,1.69751,1.66789,0.5488,0.54174,0.54881,0.30187,1.52227,1.55949,1.61009,0.0017525,0.0017525,0.0017525
27,1302.97,1.56757,1.69379,1.66901,0.53044,0.53459,0.53795,0.29756,1.49184,1.52545,1.56981,0.0017426,0.0017426,0.0017426
28,1354.62,1.55894,1.68941,1.65564,0.60264,0.55182,0.59864,0.33562,1.51994,1.48406,1.61516,0.0017327,0.0017327,0.0017327
